Year,Province,Unemployment_Rate
2024,ACEH,5.75
2024,SUMATERA UTARA,5.6
2024,SUMATERA BARAT,5.75
2024,RIAU,3.7
2024,JAMBI,4.48
2024,SUMATERA SELATAN,3.86
2024,BENGKULU,3.11
2024,LAMPUNG,4.19
2024,KEP. BANGKA BELITUNG,4.63
2024,DKI JAKARTA,6.21
2024,JAWA BARAT,6.75
2024,JAWA TENGAH,4.78
2024,DI YOGYAKARTA,3.48
2024,JAWA TIMUR,4.19
2024,BANTEN,6.68
2024,BALI,1.79
2024,NUSA TENGGARA BARAT,2.73
2024,NUSA TENGGARA TIMUR,3.02
2024,KALIMANTAN BARAT,4.86
2024,KALIMANTAN TENGAH,4.01
2024,KALIMANTAN SELATAN,4.2
2024,KALIMANTAN TIMUR,5.14
2024,SULAWESI UTARA,5.85
2024,SULAWESI TENGAH,2.94
2024,SULAWESI SELATAN,4.19
2024,SULAWESI TENGGARA,3.09
2024,GORONTALO,3.13
2024,MALUKU,6.11
2024,MALUKU UTARA,4.03
2024,PAPUA,6.48
2024,INDONESIA,4.91
2023,ACEH,6.03
2023,SUMATERA UTARA,5.89
2023,SUMATERA BARAT,5.94
2023,RIAU,4.23
2023,JAMBI,4.53
2023,SUMATERA SELATAN,4.11
2023,BENGKULU,3.42
2023,LAMPUNG,4.23
2023,KEP. BANGKA BELITUNG,4.56
2023,DKI JAKARTA,6.53
2023,JAWA BARAT,7.44
2023,JAWA TENGAH,5.13
2023,DI YOGYAKARTA,3.69
2023,JAWA TIMUR,4.88
2023,BANTEN,7.52
2023,BALI,2.69
2023,NUSA TENGGARA BARAT,2.8
2023,NUSA TENGGARA TIMUR,3.14
2023,KALIMANTAN BARAT,5.05
2023,KALIMANTAN TENGAH,4.1
2023,KALIMANTAN SELATAN,4.31
2023,KALIMANTAN TIMUR,5.31
2023,SULAWESI UTARA,6.1
2023,SULAWESI TENGAH,2.95
2023,SULAWESI SELATAN,4.33
2023,SULAWESI TENGGARA,3.15
2023,GORONTALO,3.06
2023,MALUKU,6.31
2023,MALUKU UTARA,4.31
2023,PAPUA,2.67
2023,INDONESIA,5.32
2022,ACEH,6.17
2022,SUMATERA UTARA,6.16
2022,SUMATERA BARAT,6.28
2022,RIAU,4.37
2022,JAMBI,4.59
2022,SUMATERA SELATAN,4.63
2022,BENGKULU,3.59
2022,LAMPUNG,4.52
2022,KEP. BANGKA BELITUNG,4.77
2022,DKI JAKARTA,7.18
2022,JAWA BARAT,8.31
2022,JAWA TENGAH,5.57
2022,DI YOGYAKARTA,4.06
2022,JAWA TIMUR,5.49
2022,BANTEN,8.09
2022,BALI,4.8
2022,NUSA TENGGARA BARAT,2.89
2022,NUSA TENGGARA TIMUR,3.54
2022,KALIMANTAN BARAT,5.11
2022,KALIMANTAN TENGAH,4.26
2022,KALIMANTAN SELATAN,4.74
2022,KALIMANTAN TIMUR,5.71
2022,SULAWESI UTARA,6.61
2022,SULAWESI TENGAH,3
2022,SULAWESI SELATAN,4.51
2022,SULAWESI TENGGARA,3.36
2022,GORONTALO,2.58
2022,MALUKU,6.88
2022,MALUKU UTARA,3.98
2022,PAPUA,2.83
2022,INDONESIA,5.86
2021,ACEH,6.3
2021,SUMATERA UTARA,6.33
2021,SUMATERA BARAT,6.52
2021,RIAU,4.42
2021,JAMBI,5.09
2021,SUMATERA SELATAN,4.98
2021,BENGKULU,3.65
2021,LAMPUNG,4.69
2021,KEP. BANGKA BELITUNG,5.03
2021,DKI JAKARTA,8.5
2021,JAWA BARAT,9.82
2021,JAWA TENGAH,5.95
2021,DI YOGYAKARTA,4.56
2021,JAWA TIMUR,5.74
2021,BANTEN,8.98
2021,BALI,5.37
2021,NUSA TENGGARA BARAT,3.01
2021,NUSA TENGGARA TIMUR,3.77
2021,KALIMANTAN BARAT,5.82
2021,KALIMANTAN TENGAH,4.53
2021,KALIMANTAN SELATAN,4.95
2021,KALIMANTAN TIMUR,6.83
2021,SULAWESI UTARA,7.06
2021,SULAWESI TENGAH,3.75
2021,SULAWESI SELATAN,5.72
2021,SULAWESI TENGGARA,3.92
2021,GORONTALO,3.01
2021,MALUKU,6.93
2021,MALUKU UTARA,4.71
2021,PAPUA,3.33
2021,INDONESIA,6.49
2020,ACEH,6.59
2020,SUMATERA UTARA,6.91
2020,SUMATERA BARAT,6.88
2020,RIAU,6.32
2020,JAMBI,5.13
2020,SUMATERA SELATAN,5.51
2020,BENGKULU,4.07
2020,LAMPUNG,4.67
2020,KEP. BANGKA BELITUNG,5.25
2020,DKI JAKARTA,10.95
2020,JAWA BARAT,10.46
2020,JAWA TENGAH,6.48
2020,DI YOGYAKARTA,4.57
2020,JAWA TIMUR,5.84
2020,BANTEN,10.64
2020,BALI,5.63
2020,NUSA TENGGARA BARAT,4.22
2020,NUSA TENGGARA TIMUR,4.28
2020,KALIMANTAN BARAT,5.81
2020,KALIMANTAN TENGAH,4.58
2020,KALIMANTAN SELATAN,4.74
2020,KALIMANTAN TIMUR,6.87
2020,SULAWESI UTARA,7.37
2020,SULAWESI TENGAH,3.77
2020,SULAWESI SELATAN,6.31
2020,SULAWESI TENGGARA,4.58
2020,GORONTALO,4.28
2020,MALUKU,7.57
2020,MALUKU UTARA,5.15
2020,PAPUA,4.28
2020,INDONESIA,7.07
2019,ACEH,6.17
2019,SUMATERA UTARA,5.39
2019,SUMATERA BARAT,5.38
2019,RIAU,5.76
2019,JAMBI,4.06
2019,SUMATERA SELATAN,4.53
2019,BENGKULU,3.26
2019,LAMPUNG,4.03
2019,KEP. BANGKA BELITUNG,3.58
2019,DKI JAKARTA,6.54
2019,JAWA BARAT,8.04
2019,JAWA TENGAH,4.44
2019,DI YOGYAKARTA,3.18
2019,JAWA TIMUR,3.82
2019,BANTEN,8.11
2019,BALI,1.57
2019,NUSA TENGGARA BARAT,3.28
2019,NUSA TENGGARA TIMUR,3.14
2019,KALIMANTAN BARAT,4.35
2019,KALIMANTAN TENGAH,4.04
2019,KALIMANTAN SELATAN,4.18
2019,KALIMANTAN TIMUR,5.94
2019,SULAWESI UTARA,6.01
2019,SULAWESI TENGAH,3.11
2019,SULAWESI SELATAN,4.62
2019,SULAWESI TENGGARA,3.52
2019,GORONTALO,3.76
2019,MALUKU,6.69
2019,MALUKU UTARA,4.81
2019,PAPUA,3.51
2019,INDONESIA,5.23
2018,ACEH,6.34
2018,SUMATERA UTARA,5.55
2018,SUMATERA BARAT,5.66
2018,RIAU,5.98
2018,JAMBI,3.73
2018,SUMATERA SELATAN,4.27
2018,BENGKULU,3.35
2018,LAMPUNG,4.04
2018,KEP. BANGKA BELITUNG,3.61
2018,DKI JAKARTA,6.65
2018,JAWA BARAT,8.23
2018,JAWA TENGAH,4.47
2018,DI YOGYAKARTA,3.37
2018,JAWA TIMUR,3.91
2018,BANTEN,8.47
2018,BALI,1.4
2018,NUSA TENGGARA BARAT,3.58
2018,NUSA TENGGARA TIMUR,2.85
2018,KALIMANTAN BARAT,4.18
2018,KALIMANTAN TENGAH,3.91
2018,KALIMANTAN SELATAN,4.35
2018,KALIMANTAN TIMUR,6.41
2018,SULAWESI UTARA,6.61
